canonical,display,gene_symbol,kind,synonyms,note
KRT6A,KRT6,KRT6A,phenotypic,Keratin6|KRT6,
KRT7,KRT7,KRT7,phenotypic,CK7|KRT7,
KRT_PAN,PanCK,,phenotypic,PanCK|Pan-Keratin|Cytokeratin,ASSUMPTION - three different clones covering different keratin subsets merged into one marker
MKI67,Ki67,MKI67,phenotypic,Ki67,
LAG3,LAG3,LAG3,phenotypic,LAG3|LAG-3|Lag3,
MMP9,MMP9,MMP9,phenotypic,MMP9,
MMP12,MMP12,MMP12,phenotypic,MMP12,
MPO,MPO,MPO,phenotypic,MPO,
MUC1,MUC1,MUC1,phenotypic,MUC1|MUC-1,
MUC2,MUC2,MUC2,phenotypic,MUC2,
MUC6,MUC6,MUC6,phenotypic,MUC6,
RELA,NFKBp65,RELA,phenotypic,NFKBp65|p65,
KLRK1,NKG2D,KLRK1,phenotypic,NKG2D,
ATP1A1,NaKATPase,ATP1A1,phenotypic,Na-K-ATPase|NaKATPase,
OLFM4,OLFM4,OLFM4,phenotypic,OLFM4,
PDCD1,PD1,PDCD1,phenotypic,PD1|PD-1,
CD274,PDL1,CD274,phenotypic,PDL1|PD-L1,
PDCD1LG2,PDL2,PDCD1LG2,phenotypic,PDL2|PD-L2,
PDPN,Podoplanin,PDPN,phenotypic,Podoplanin,
SOX9,SOX9,SOX9,phenotypic,SOX9,
SYP,Synaptophysin,SYP,phenotypic,Synapto|Synaptophysin,
TBX21,TBET,TBX21,phenotypic,T-bet|TBET,
HAVCR2,TIM3,HAVCR2,phenotypic,TIM3|TIM-3,
ANO1,TMEM16A,ANO1,phenotypic,TMEM16A,
VSIR,VISTA,VSIR,phenotypic,VISTA,
VIM,Vimentin,VIM,phenotypic,Vimentin,
DEFA5,aDef5,DEFA5,phenotypic,aDef5,
ACTA2,aSMA,ACTA2,phenotypic,aSMA|SMA|a-SMA,
CTNNB1,bCatenin,CTNNB1,phenotypic,Beta catenin|beta-catenin|bCatenin,
CDKN2A,p16,CDKN2A,phenotypic,p16,
TP53,p53,TP53,phenotypic,p53,
CCR4,CCR4,CCR4,phenotypic,CD194|CCR4,
RPS6_p,pS6,RPS6,phenotypic,phospho-S6|pS6,phosphorylated form - a signalling state not a plain protein level
STAT3_p,pSTAT3,STAT3,phenotypic,pSTAT3,phosphorylated form - a signalling state not a plain protein level
DNA,DNA,,dna,dsDNA|HH3|DNA1|DNA2|HOECHST1|DRAQ5,nuclear channels used for segmentation - merged into one name and never used as a phenotype
Na,Na,,non_biological,Na,elemental channel
Si,Si,,non_biological,Si,elemental channel
P,P,,non_biological,P,elemental channel
Ca,Ca,,non_biological,Ca,elemental channel
Fe,Fe,,non_biological,Fe,elemental channel
Ta,Ta,,non_biological,Ta,elemental channel
Au,Au,,non_biological,Au,elemental channel
C,C,,non_biological,C,elemental channel
Background,Background,,non_biological,Background,instrument background channel
Profile_Homogeneity,Profile_Homogeneity,,qc_score,Profile_Homogeneity,segmentation quality score not a stain
